,train,val,test
0,TCGA-A1-A0SH-01A-01-BSA.bc5df1ce-0c3b-45f6-bbbd-83a24316abd7,TCGA-A2-A0CM-01A-03-BSC.c240a44d-0583-496e-bdef-5cdb5e0ee167,01BR001-0684a407-f446-486d-9160-b483cb
1,TCGA-A1-A0SH-01A-01-TSA.79c64fec-53ef-405a-b830-da132de9149d,TCGA-A2-A0CM-01A-03-TSC.7f2cc1ed-793e-4717-92fd-da1aa4424aed,01BR001-09b84012-cb83-4c2e-a33b-ebdb1b
2,TCGA-A1-A0SK-01A-01-BSA.29fd9144-1886-47ad-b075-7800cb57c9f5,TCGA-A2-A0SX-01A-01-BSA.7c3c820b-1ddc-4a92-a59d-7ac2df9a7313,01BR001-17d55745-4ab3-4a80-a182-af938b
3,TCGA-A1-A0SK-01A-01-TSA.0b2432b1-5781-4725-bb85-7547c7ae9f36,TCGA-A2-A0SX-01A-01-TSA.3830b6f0-c05a-4d09-a1bc-c7018bc5e458,01BR001-45196bfe-2f9f-41ff-beea-df78b6
4,TCGA-A1-A0SO-01A-02-BSB.1e0712cc-bf2e-4c00-97a2-9fa423fdbb27,TCGA-A2-A0T2-01A-01-BSA.3613219b-687b-419f-ac8f-33b668b72446,01BR001-4ffefc66-d0ba-4a36-b4fa-35bd91
5,TCGA-A1-A0SO-01A-02-TSB.e5de770e-4ff4-47ad-b5e4-04753c1a6507,TCGA-A2-A0T2-01A-01-TSA.8595967b-5bf7-447f-9310-10b53a1c1dfa,01BR001-52216745-06b5-4ac9-b8a8-a6924d
6,TCGA-A1-A0SP-01A-01-BS1.987709b5-3f9a-4927-aa82-3438caef59e2,TCGA-A2-A0YE-01A-01-BS1.7203b6fc-3a45-41e1-9104-14255fe4eb6e,01BR001-fe90ef44-d17c-4ff7-877d-2c7fcb
7,TCGA-A1-A0SP-01A-01-TS1.0cda5515-8bec-4df9-a50e-f4a649aba4bf,TCGA-A2-A0YE-01A-01-TS1.03c71807-b82c-4b01-8962-c6ac3d1b3445,01BR009-0ecabbfa-8095-4875-acdb-051582
8,TCGA-A2-A04P-01A-03-BSC.31dbf72c-2aef-4b1d-a773-3656f550acc3,TCGA-A2-A3XT-01A-01-TSA.8B6C4952-F4D6-42C2-86FD-54C42917AC77,01BR009-91dc9191-3581-483a-819d-090a8b
9,TCGA-A2-A04P-01A-03-TSC.a3d91959-eb6a-4ddd-ac83-c1e0217577cf,TCGA-A7-A0CE-01A-01-BS1.33fde61b-7c02-43d1-978f-56808f6a278e,01BR009-be7b98ff-aced-4197-9295-245469
10,TCGA-A2-A04Q-01A-02-MSB.f56f62ee-cf1d-4084-948e-652b81bbbf0f,TCGA-A7-A0CE-01A-01-TS1.3025a9c8-a7e4-4048-bcf0-a28720c0f96b,01BR010-26ecef2d-fcf3-4b85-9647-5e5d29
11,TCGA-A2-A04Q-01A-02-TSB.abf5f4de-662d-4479-a556-2cf0b59d4ee3,TCGA-A8-A07U-01A-01-MS1.92764161-0edd-431b-a770-259c8e240364,01BR010-6a7b1cca-d727-4f7e-b4cf-b1dc68
12,TCGA-A2-A04T-01A-02-BSB.3bc8f196-5f7b-4207-bf6d-6430bac94fe2,TCGA-A8-A07U-01A-01-TS1.f7ef0926-a88e-4ad1-88a4-2369a3b8e5dd,01BR010-756e7cd6-ecc6-4f07-9b66-080b95
13,TCGA-A2-A04T-01A-02-TSB.93063466-272a-42e9-b4cb-ccf262b7e4c4,TCGA-AN-A0FX-01A-01-MS1.551cccdc-ebc5-4fbb-9120-40ab0187ee5e,01BR015-3746a6f5-1f2d-40f8-890e-bbec91
14,TCGA-A2-A04U-01A-01-BSA.65a9cf7d-8f03-45b6-8751-5a535db11426,TCGA-AN-A0FX-01A-01-TS1.3d90ed8a-1940-40b6-ac19-a242ee8eaa10,01BR015-42cc89e1-a896-4f57-b8d9-e7fe56
